,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-763,-822,32,557,506,91,-67,938,67
1,17.49,-801,-879,-14,765,249,150,-63,956,82
2,35.907000000000004,-948,-1085,-189,518,84,157,-61,954,82
3,54.146,-1217,-1555,-257,160,-104,39,-49,938,77
4,72.733,-1417,-1985,-381,-93,-32,-302,-47,956,63
5,91.374,-1513,-2374,-506,76,103,-977,-51,971,84
6,109.99000000000001,-1520,-2308,-460,244,294,-1822,-35,1032,81
7,127.23799999999999,-1529,-2333,-296,13,637,-2658,-31,1056,103
8,144.35999999999999,-1437,-2363,-4,399,1065,-3214,-23,1082,121
9,161.579,-1347,-2280,-282,1370,1464,-3584,62,1189,117
10,178.799,-1244,-1874,-284,1768,1522,-3799,87,1220,128
11,195.85,-1029,-1785,-2,1502,1594,-3960,121,1340,126
12,213.052,-833,-1736,-247,1266,1436,-4020,214,1396,116
13,230.005,-696,-1594,-246,932,1410,-4146,265,1419,140
14,247.221,-610,-1410,-221,505,1355,-4264,310,1480,143
15,264.294,-415,-1262,-216,274,1340,-4354,442,1516,116
16,281.541,-268,-1313,-326,168,1449,-4423,496,1528,128
17,298.73499999999996,-234,-1212,-442,66,1433,-4317,547,1553,153
18,315.788,-162,-1084,-371,30,1375,-4179,683,1563,127
19,332.681,-70,-1278,-388,25,1481,-4115,725,1547,134
20,349.767,-15,-1152,-279,254,1433,-4005,871,1565,94
21,366.799,30,-1026,-273,465,1504,-3860,926,1563,107
22,383.867,121,-902,-284,452,1425,-3681,991,1536,90
23,400.98,219,-763,-242,187,1197,-3486,1078,1512,70
24,418.15799999999996,295,-769,-193,-115,1176,-3096,1135,1502,67
25,435.062,370,-737,-172,-66,1178,-3106,1198,1463,13
26,452.361,412,-745,-207,-103,1165,-2874,1253,1419,4
27,469.568,446,-640,-98,-53,1127,-2328,1301,1386,19
28,486.616,532,-620,-63,-53,1209,-2377,1321,1388,9
29,503.78599999999994,570,-699,-10,-189,1282,-2222,1398,1330,-54
30,520.915,558,-685,140,-419,1320,-1805,1427,1317,-35
31,538.068,649,-724,191,-594,1493,-1939,1449,1041,-89
32,555.1310000000001,781,-769,249,-492,1553,-1833,1490,1227,-69
33,572.3340000000001,859,-611,223,-567,1643,-1746,1523,1210,-111
34,589.558,898,-423,212,-733,1459,-1660,1514,1131,-127
35,606.6550000000001,832,-376,269,-910,1241,-1518,1555,1145,-153
36,623.846,810,-350,399,-919,1003,-1371,1557,1111,-181
37,640.891,792,-396,789,-932,751,-1247,1571,1086,-162
38,658.188,676,-116,805,-695,920,-1071,1583,1058,-180
39,675.28,803,-344,685,-849,1207,-900,1595,1044,-174
40,692.452,904,-462,727,-1027,1153,-779,1630,1023,-214
41,709.6759999999999,994,-427,592,-1164,1170,-561,1622,997,-213
42,726.698,1019,-420,533,-1159,1003,-279,1636,993,-247
43,743.881,932,-564,280,-1196,668,-33,1619,1001,-248
44,761.018,1057,-700,589,-534,-108,292,1630,995,-232
45,778.175,1222,-840,583,-445,-292,311,1632,989,-208
46,795.294,1339,-717,391,-6,8,248,1613,1025,-241
47,812.539,1325,-554,394,-303,110,48,1605,985,-252
48,829.732,1241,-564,388,-586,57,-64,1626,1009,-213
49,846.7320000000001,1169,-600,448,-579,-61,-82,1638,997,-233
50,863.915,1116,-538,388,-350,-158,-40,1650,997,-227
51,881.03,1127,-601,380,-425,-137,-51,1632,977,-210
52,898.142,1130,-616,395,-431,-48,-46,1640,977,-222
53,915.295,1149,-620,390,-314,7,-45,1640,985,-230
54,932.409,1143,-525,451,-245,-255,-24,1632,967,-231
55,949.6289999999999,1148,-571,462,-276,-18,-25,1626,985,-223
56,966.656,1159,-596,423,-244,-22,-15,1638,981,-219
57,983.776,1143,-634,386,-237,-43,-12,1605,967,-256
58,1000.948,1146,-616,402,-216,-119,-3,1634,971,-225
59,1018.1750000000001,1153,-678,446,-274,-77,-35,1603,965,-201
60,1035.258,1145,-708,457,-157,-30,-27,1625,962,-242
